Deal ID,Deal ID,X,Y,Current size under contract (ha),Deal ID,Negotiation status,year,Operating company: Classification,,,,Buffer,km2,r,n
700,700,-38.95244,-68.06414,15000,700,2004#current#Concluded (Contract signed),2004,Private company,,,Superficies menor al 25th percentile,717,"7,17","1,51",65
701,701,-26.63086,-54.11316,4000,701,2007#current#Concluded (Contract signed),2007,Private company,,,Superficies mayores al 25th percentile,1562,"15,62","2,23",211
703,703,-27.9505,-61.99565,595,703,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,276
704,704,-27.94937,-61.84749,4000,704,2012#current#Concluded (Contract signed),2012,Private company,,,,,,,
1055,1055,-47.75156,-65.90138,100911,1055,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
1058,1058,-35.64049,-64.21242,8360,1058,2003#current#Concluded (Contract signed),2003,Private company,,,,,,,
1059,1059,-32.2765,-58.62992,3584,1059,2005#current#Concluded (Contract signed),2005,Stock-exchange listed company,,,,,,,
1060,1060,-24.74683,-63.69842,130000,1060,2000##Concluded (Contract signed)|2003##Concluded (Change of ownership)|2005##Concluded (Change of ownership)|2008#current#Concluded (Contract signed),2000,Private company,,,,,,,
1061,1061,-34.61469,-59.0781,1058,1061,2014#current#Concluded (Contract signed),2014,Private company,,,,,,,
3160,3160,-43.68462,-69.27455,10000,3160,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
4130,4130,-24.88126,-63.80646,87000,4130,2000##Concluded (Contract signed)|2003##Concluded (Change of ownership)|2017##Concluded (Change of ownership)|2000#current#Concluded (Contract signed),2000,Private company,,,,,,,
4460,4460,-25.18333,-64.0668,67221,4460,2001#current#Concluded (Contract signed),2001,Private company,,,,,,,
4478,4478,-24.35158,-63.22351,14555,4478,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
4492,4492,-23.21487,-63.56752,7407,4492,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
4537,4537,-28,-58.56667,32579,4537,2009##Concluded (Contract signed)|2023#current#Concluded (Change of ownership),2009,Private company,,,,,,,
4539,4539,-28.39107,-57.89393,55469,4539,2009##Concluded (Contract signed)|2023#current#Concluded (Change of ownership),2009,Private company,,,,,,,
4558,4558,-22.93423,-63.85981,10260,4558,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
4567,4567,-22.51676,-63.80561,23000,4567,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
4719,4719,-39.08673,-66.52233,20000,4719,2013#current#Concluded (Contract signed),2013,Private company,,,,,,,
4974,4974,-25.1133,-64.04301,10000,4974,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
4975,4975,-25.0686,-63.60428,11900,4975,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
4981,4981,-39.16443,-66.14575,1170,4981,2009#current#Concluded (Contract signed),2009,Private company,,,,,,,
5080,5080,-40.82614,-63.02663,19729,5080,2009#current#Concluded (Contract signed),2009,Private company,,,,,,,
5145,5145,-24.94433,-64.17398,3168,5145,2001#current#Concluded (Contract signed),2001,Private company,,,,,,,
5146,5146,-25.02771,-63.44991,36000,5146,2001#current#Concluded (Contract signed),2001,Private company,,,,,,,
5148,5148,-24.42028,-63.51163,9094,5148,2002#current#Concluded (Contract signed),2002,Private company,,,,,,,
5149,5149,-24.51893,-64.07978,1927,5149,2002#current#Concluded (Contract signed),2002,Private company,,,,,,,
5150,5150,-24.15161,-63.94232,2927,5150,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
5151,5151,-24.97621,-64.13697,300,5151,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
5153,5153,-25.11728,-64.12473,4533,5153,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
5154,5154,-23.95821,-63.94131,5158,5154,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
5155,5155,-23.39422,-64.42574,1700,5155,2002#current#Concluded (Contract signed),2002,Private company,,,,,,,
5156,5156,-24.22793,-63.87638,2027,5156,2004##Concluded (Contract signed)|2021##Concluded (Change of ownership)|2021#current#Concluded (Contract signed),2004,Private company,,,,,,,
5157,5157,-23.55778,-64.39722,1784,5157,2009#current#Concluded (Contract signed),2009,Private company,,,,,,,
5159,5159,-24.18611,-62.88422,7143,5159,2008#current#Concluded (Contract signed),2008,Private company,,,,,,,
5161,5161,-23.74484,-63.78032,124350,5161,2005-03-17#current#Concluded (Contract signed),2005,Private company,,,,,,,
5162,5162,-26.11206,-65.27687,2258,5162,2000#current#Concluded (Contract signed),2000,Private company,,,,,,,
5163,5163,-23.32371,-64.22454,441,5163,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
5164,5164,-23.32371,-64.22454,350,5164,2015#current#Concluded (Contract signed),2015,Private company,,,,,,,
5307,5307,-23.97806,-64.30503,10000,5307,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
5308,5308,-23.87209,-64.16355,17800,5308,2013#current#Concluded (Contract signed),2013,Private company,,,,,,,
5309,5309,-24.1899,-64.04768,3183,5309,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
